WKT,OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"POINT (-122.1554423798 47.2751448019924)",1005,141,2,YES,None,58730,83969,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,0,CURRENT,Academy Dr SE,85,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,85,85,2005-06-04T00:00:00.000Z,24,Unknown,0,Academy Dr SE,,N,None,None,Far side,AUB,YES,1312205.7,1312212,103160.8,103185,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-asphlt,None,0,5323
"POINT (-122.164722862394 47.2798336311356)",1006,141,2,LTD,None,58740,119609,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,0,CURRENT,32nd St SE,180,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,180,180,1960-01-01T00:00:00.000Z,24,Unknown,0,32nd St SE,,N,None,None,Far side,AUB,YES,1309920.2,1309938,104917,104934.8,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,0,5324
"POINT (-122.153030604363 47.2745615421456)",1007,141,2,UNK,Unknown,58742,83755,CLO,REG,UNK,Unknown,SE,UNK,,N,NO,UNK,0,Unknown,0,CURRENT,Private Rd,403.7,AT,1980-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,403.7,403.7,1989-12-07T00:00:00.000Z,24,Unknown,0,Private Rd,,N,UNK,Unknown,At cross st,AUB,UNK,1312818.2,1312807,102984.1,102962,98092,,Auburn Way S,Unknown,UNK,,Unknown,Unknown,UNK,0,100014260
"POINT (-122.174428146865 47.2860968294364)",1008,141,2,YES,None,58750,33705,ACT,REG,AUB,Auburn,SE,NO,,W,NO,YES,6,None,0,CURRENT,Poplar St SE,1035,NM,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,218,48.8,1960-01-01T00:00:00.000Z,24,ADA Access,0,Poplar St SE,,N,None,None,Near middle,AUB,YES,1307551.1,1307569,107243.1,107260.9,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5325
"POINT (-122.17778922602 47.2881533652683)",1009,141,2,YES,None,58752,157365,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,0,CURRENT,Poplar St SE,80,FS,1981-01-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,60.2,60.2,1981-01-15T00:00:00.000Z,24,Unknown,0,Poplar St SE,,N,None,None,Far side,AUB,YES,1306736.4,1306748,108003.1,108025.5,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,0,5326
"POINT (-122.181041467709 47.2883197480909)",1010,141,2,YES,None,58754,62880,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,0,CURRENT,Noble Ct SE,285,FS,1989-12-07T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,158.4,158.4,2012-12-18T00:00:00.000Z,24,Unknown,0,Noble Ct SE,,N,None,None,Far side,AUB,YES,1305941.9,1305942,108075.3,108100.3,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-asphlt,None,0,5327
"POINT (-122.187323675987 47.2883135299399)",1011,141,2,YES,None,58760,93224,ACT,REG,AUB,Auburn,SE,NO,,W,NO,YES,6,None,0,CURRENT,Hemlock St SE,125,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,300.3,125,2015-12-07T00:00:00.000Z,24,ADA Access,0,Hemlock St SE,,N,None,None,Far side,AUB,YES,1304382.6,1304383,108100.4,108125.4,98092,186 915,Auburn Way S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5328
"POINT (-122.190039776865 47.2883155264828)",1012,141,2,UNK,None,58770,149702,CLO,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,10,CURRENT,Auburn Way S,22.8,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,22.8,22.8,2015-06-15T00:00:00.000Z,24,Unknown,0,Auburn Way S,,N,None,None,Far side,AUB,UNK,1303707.6,1303709,108113,108138,98092,,Auburn Way S,Unknown,KCM,Away,Art Pole,Cncrt-asphlt,Single,1,0
"POINT (-122.192978043368 47.2884930101458)",1014,141,2,YES,None,58780,56633,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,10,CURRENT,Dogwood St SE,76.09999999999999,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,925.4,76.09999999999999,2008-01-12T00:00:00.000Z,24,Unknown,0,Dogwood St SE,,N,None,None,Far side,AUB,YES,1302975.7,1302981,108191.1,108215.6,98002,186 915,Auburn Way S,A1 <=2 rts,KCM,Away,2in metal,Cncrt-asphlt,None,1,5331
"POINT (-122.176474330189 47.3291051004247)",3215,141,2,YES,None,57521,179639,ACT,REG,AUB,Auburn,SE,NO,,S,NO,YES,6,YelRed-Stop,0,CURRENT,SE 304th St,240,FS,1990-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,240,240,2012-12-18T00:00:00.000Z,24,ADA Access,0,SE 304th St,,N,None,None,Far side,AUB,YES,1307360.4,1307335,122954.8,122955.4,98092,164,124th Ave SE,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,0,5100
