OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1072","141","2",YES,None,"50250","112177",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"70",CURRENT,Des Moines Memorial Dr S,279.90000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,279.90000000000,279.90000000000,2012-09-29T00:00:00.000Z,"24",Unknown,"0",Des Moines Memorial Dr S,,N,None,None,Far side,STC,YES,1271478.00000000000,"1271453",163757.70000000001,163759.89999999999,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4247"
"1073","141","2",LTD,None,"50260","91819",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 186th St,110.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,110.00000000000,110.00000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 186th St,,N,None,None,Far side,STC,YES,1271387.69999999995,"1271363",162669.00000000000,162671.20000000001,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","4248"
"1074","141","2",YES,None,"50270","66946",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 188th St,95.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,95.00000000000,95.00000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 188th St,,N,None,None,Far side,STC,YES,1271324.39999999991,"1271300",161888.00000000000,161890.50000000000,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,"0","4249"
"1075","141","2",YES,None,"50280","78280",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 192nd St,110.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,110.00000000000,110.00000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 192nd St,,N,None,None,Far side,STC,YES,1271236.19999999995,"1271211",160768.10000000001,160768.10000000001,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4250"
"1076","141","2",YES,None,"50290","117043",ACT,REG,DES,Des Moines,SC,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 194th St,32.20000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,32.20000000000,32.20000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 194th St,,N,None,None,Near side,STC,YES,1271234.00000000000,"1271209",160034.00000000000,160034.00000000000,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","4251"
"1077","141","2",UNK,None,"50300","54395",CLO,REG,DES,Des Moines,SW,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 196th St,90.00000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,140.10000000000,90.00000000000,2008-05-31T00:00:00.000Z,"24",Unknown,"0",S 196th St,,N,None,None,Near side,DES,UNK,1271230.00000000000,"1271205",159460.00000000000,159460.00000000000,"98148",,8th Ave S,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"1078","141","2",YES,None,"50310","49335",ACT,REG,DES,Des Moines,SW,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 198th St,34.50000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,224.60000000000,34.50000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 198th St,,N,None,None,Near side,DES,YES,1271228.69999999995,"1271204",158895.60000000001,158895.60000000001,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4252"
"1079","141","2",YES,None,"50320","23391",ACT,REG,DES,Des Moines,SW,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 200th St,40.00000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,157.10000000000,40.00000000000,2010-04-03T00:00:00.000Z,"24",Unknown,"0",S 200th St,,N,None,None,Near side,DES,YES,1271225.69999999995,"1271201",157937.70000000001,157938.00000000000,"98198",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","100000435"
"1080","141","2",UNK,None,"50321","135204",CLO,REG,DES,Des Moines,SW,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,8th Ave S,70.00000000000,FS,2007-07-24T12:52:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,70.00000000000,70.00000000000,2010-04-03T00:00:00.000Z,"24",Unknown,"0",8th Ave S,,N,None,None,Far side,DES,UNK,1271295.39999999991,"1271294",157894.39999999999,157869.39999999999,"98198",,S 200th St,Unknown,KCM,Toward,2in metal,Cncrt-earth,None,"0","0"
"1081","141","2",YES,None,"50330","142493",ACT,REG,DES,Des Moines,SW,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,Des Moines Memorial Dr S,50.00000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,149.70000000000,50.00000000000,2008-07-12T00:00:00.000Z,"24",Unknown,"0",Des Moines Memorial Dr S,,N,None,None,Near side,DES,YES,1272344.50000000000,"1272343",157835.29999999999,157810.39999999999,"98148",122 156,S 200th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4254"
