OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1013","141","2",YES,None,"58779","74875",ACT,REG,DOT,State Dept. of Transportation,SE,NO,,E,NO,UNK,"0",None,"110",CURRENT,I-5 Ramp,55.00000000000,NS,2007-11-16T16:25:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,296.20000000000,55.00000000000,2007-11-16T00:00:00.000Z,"24",Unknown,"0",I-5 Ramp,,N,None,None,Near side,KNT,YES,1280129.30000000005,"1280121",145960.10000000001,145936.50000000000,"98032",158 159 166,Kent Des Moines Rd,A2 <=6 rts,KCM,Toward,Light,Band,None,"1","5330"
"1089","141","2",UNK,None,"61290","157691",CLO,REG,FDY,Federal Way,SW,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 304th St,98.30000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,98.30000000000,98.30000000000,2015-09-26T00:00:00.000Z,"24",Unknown,"0",S 304th St,,N,None,None,Far side,FDY,UNK,1273687.30000000005,"1273663",123668.00000000000,123672.10000000001,"98003",,Pacific Hwy S,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"0","0"
"1090","141","2",YES,None,"61300","252816",ACT,REG,FDY,Federal Way,SW,NO,,S,NO,NO,"0",None,"0",CURRENT,S 308th St,150.00000000000,FS,1981-05-15T04:30:00.000Z,2019-04-01T14:33:00.000Z,2019-04-08T00:00:00.000Z,150.00000000000,150.00000000000,2019-04-01T00:00:00.000Z,"24",Unknown,"0",S 308th St,,N,None,None,Far side,FDY,YES,1273375.80000000005,"1273351",122303.70000000000,122306.80000000000,"98003",A 901,Pacific Hwy S,A1 <=2 rts,KCM,Away,2in metal,Cncrt-asphlt,Midsize,"1","5831"
"1091","141","2",UNK,Unknown,"61302","260076",CLO,REG,UNK,Unknown,SW,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 310th St,4.70000000000,AT,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,660.30000000000,4.70000000000,1986-02-07T00:00:00.000Z,"24",Unknown,"0",S 310th St,,N,UNK,Unknown,At cross st,FDY,UNK,1273379.60000000009,"1273405",121794.20000000000,121793.20000000000,"98003",,Pacific Hwy S,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014088"
"1092","141","2",YES,None,"61310","252817",ACT,REG,FDY,Federal Way,SW,NO,,S,NO,YES,"6",YelRed-Stop,"70",CURRENT,S 312th St,116.30000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,116.30000000000,116.30000000000,1981-05-15T00:00:00.000Z,"24",Unknown,"0",S 312th St,,N,None,None,Far side,FDY,YES,1273325.00000000000,"1273300",121018.60000000001,121019.20000000000,"98003",A,Pacific Hwy S,A1 <=2 rts,KCM,Away,2in metal,Base plate,Midsize,"1","5832"
"1093","141","2",YES,None,"61313","260199",ACT,REG,FDY,Federal Way,SW,NO,,E,NO,YES,"6",YelRed-Stop,"70",CURRENT,Pacific Hwy S,233.00000000000,FS,2006-01-19T13:49:00.000Z,2019-04-01T14:06:00.000Z,2019-04-08T00:00:00.000Z,233.00000000000,233.00000000000,2019-04-01T00:00:00.000Z,"24",Unknown,"0",Pacific Hwy S,,N,None,None,Far side,FDY,YES,1273569.69999999995,"1273569",119774.70000000000,119749.70000000000,"98003",A 179 197,S 316th St,A2 <=6 rts,KCM,Toward,2in metal,Base plate,Midsize,"0","5833"
"1094","141","2",UNK,None,"61316","76715",CLO,REG,FDY,Federal Way,SW,NO,,E,NO,YES,"6",YelRed-Stop,"70",CURRENT,20th Ave S,80.00000000000,NS,2006-01-19T14:07:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,194.50000000000,80.00000000000,2015-09-26T00:00:00.000Z,"24",Unknown,"0",20th Ave S,,N,None,None,Near side,FDY,UNK,1274547.39999999991,"1274547",119775.80000000000,119750.80000000000,"98003",,S 316th St,Unknown,KCM,Away,2in metal,Base plate,None,"0","0"
"1095","141","2",YES,Unknown,"61320","260164",ACT,REG,FDY,Federal Way,SW,NO,,S,NO,YES,"6",YelRed-Stop,"10",CURRENT,S 316th St,102.20000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,102.20000000000,102.20000000000,2011-02-08T00:00:00.000Z,"24",ADA Access,"0",S 316th St,,N,None,None,Far side,FDY,YES,1273295.30000000005,"1273270",119682.80000000000,119683.10000000001,"98003",179 197,Pacific Hwy S,A1 <=2 rts,KCM,Away,2in metal,Band,None,"0","100000544"
"1096","141","2",YES,None,"61330","260198",ACT,REG,FDY,Federal Way,SW,NO,,E,NO,YES,"6",YelRed-Stop,"10",CURRENT,Pacific Hwy S,189.80000000000,FS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,189.80000000000,189.80000000000,1981-05-15T00:00:00.000Z,"24",Unknown,"0",Pacific Hwy S,,N,None,None,Far side,FDY,YES,1273509.30000000005,"1273509",118485.20000000000,118460.20000000000,"98003",181 182 187,S 320th St,A2 <=6 rts,KCM,Away,2in metal,Base plate,Double,"0","5835"
"1097","141","2",UNK,Unknown,"61331","152405",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,Sea-Tac Mall AcRd,6.40000000000,FS,1986-09-06T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,6.40000000000,6.40000000000,1997-09-19T00:00:00.000Z,"24",Unknown,"0",Sea-Tac Mall AcRd,,N,UNK,Unknown,Far side,FDY,UNK,1275544.19999999995,"1275519",117651.50000000000,117652.10000000001,"98003",,Sea-Tac Mall AcRd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014087"
