OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1072","141","2",YES,None,"50250","112177",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"70",CURRENT,Des Moines Memorial Dr S,279.90000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,279.90000000000,279.90000000000,2012-09-29T00:00:00.000Z,"24",Unknown,"0",Des Moines Memorial Dr S,,N,None,None,Far side,STC,YES,1271478.00000000000,"1271453",163757.70000000001,163759.89999999999,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4247"
"1073","141","2",LTD,None,"50260","91819",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 186th St,110.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,110.00000000000,110.00000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 186th St,,N,None,None,Far side,STC,YES,1271387.69999999995,"1271363",162669.00000000000,162671.20000000001,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","4248"
"1074","141","2",YES,None,"50270","66946",ACT,REG,STC,SeaTac,SC,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,S 188th St,95.00000000000,FS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,95.00000000000,95.00000000000,1983-01-01T00:00:00.000Z,"24",Unknown,"0",S 188th St,,N,None,None,Far side,STC,YES,1271324.39999999991,"1271300",161888.00000000000,161890.50000000000,"98148",122 156,8th Ave S,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,"0","4249"
"1088","141","2",UNK,None,"61050","368189",CLO,REG,STC,SeaTac,SC,NO,,S,NO,YES,"6",YelRed-Stop,"0",CURRENT,S 152nd St,169.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,525.10000000000,169.70000000000,2010-10-16T00:00:00.000Z,"24",Unknown,"6",S 152nd St,,N,None,None,Far side,STC,UNK,1280581.10000000009,"1280558",173572.70000000001,173581.39999999999,"98188",,International Blvd,Unknown,KCM,Away,2in metal,Cncrt-earth,None,"1","0"
"1669","141","2",NO,None,"49285","87349",ACT,REG,STC,SeaTac,SC,NO,,N,NO,UNK,"0",Unknown,"0",CURRENT,S 156th Way,115.10000000000,FS,1982-02-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,361.00000000000,115.10000000000,1982-02-15T00:00:00.000Z,"24",Unknown,"0",S 156th Way,,N,None,None,Far side,STC,YES,1271846.00000000000,"1271871",172677.39999999999,172676.79999999999,"98148","122",Des Moines Memorial Dr S,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4111"
"1670","141","2",YES,None,"49290","59868",ACT,REG,BUR,Burien,SW,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,Des Moines Memorial Dr S,139.90000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,580.90000000000,139.90000000000,2006-10-11T00:00:00.000Z,"24",Unknown,"0",Des Moines Memorial Dr S,,N,None,None,Far side,BUR,YES,1271704.39999999991,"1271705",172564.60000000001,172589.60000000001,"98148",F 180,S 156th St,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4112"
"1671","141","2",UNK,None,"49300","97047",CLO,REG,BUR,Burien,SW,NO,,W,NO,UNK,"0",Unknown,"10",CURRENT,4th Ave S,22.70000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,22.70000000000,22.70000000000,2002-02-02T00:00:00.000Z,"24",Unknown,"0",4th Ave S,,N,None,None,Near side,BUR,UNK,1270583.10000000009,"1270582",172586.20000000001,172561.20000000001,"98148",,S 156th St,Unknown,KCM,Toward,2in metal,Unknown,None,"1","0"
"1672","141","2",YES,None,"49301","89288",ACT,REG,BUR,Burien,SW,NO,,W,NO,YES,"6",YelRed-Stop,"10",CURRENT,2nd Ave S,130.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,130.00000000000,130.00000000000,1960-01-01T00:00:00.000Z,"24",Unknown,"0",2nd Ave S,,N,None,None,Near side,BUR,YES,1270198.39999999991,"1270199",172592.60000000001,172617.60000000001,"98148",F 180,S 156th St,A1 <=2 rts,KCM,Toward,2in metal,Unknown,None,"1","4114"
"1673","141","2",UNK,Unknown,"49310","33390",CLO,REG,UNK,Unknown,SW,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,Private Rd,130.80000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,141.40000000000,130.80000000000,1995-12-23T00:00:00.000Z,"24",Unknown,"0",Private Rd,,N,UNK,Unknown,Near side,BUR,UNK,1269393.00000000000,"1269393",172608.10000000001,172583.10000000001,"98148",,S 156th St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014625"
"1704","141","2",LTD,Unknown,"49320","28979",ACT,REG,BUR,Burien,SW,NO,,E,NO,NO,"0",None,"0",CURRENT,4th Ave S,15.00000000000,NS,1983-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,307.80000000000,15.00000000000,2011-01-06T00:00:00.000Z,"24",Unknown,"0",4th Ave S,,N,None,None,Near side,BUR,YES,1270394.39999999991,"1270394",173909.00000000000,173884.00000000000,"98148","122",S 152nd St,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","4115"
