OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1002","141","2",YES,None,"58074","102095",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",YelRed-Stop,"130",CURRENT,S 208th St,166.00000000000,FS,1991-06-08T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,166.00000000000,166.00000000000,1991-06-08T00:00:00.000Z,"24",Unknown,"0",S 208th St,,N,None,None,Far side,KNT,YES,1289824.60000000009,"1289850",155067.50000000000,155067.20000000001,"98032","150",68th Ave S,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,"1","5206"
"1003","141","2",YES,None,"58075","13849",ACT,REG,KNT,Kent,SE,NO,,N,NO,UNK,"0",YelRed-Stop,"110",CURRENT,S 204th St,160.00000000000,FS,1986-09-06T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,160.00000000000,160.00000000000,1986-09-06T00:00:00.000Z,"24",Unknown,"0",S 204th St,,N,None,None,Far side,KNT,YES,1289846.10000000009,"1289871",156354.20000000001,156353.89999999999,"98032","150",68th Ave S,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"1","5207"
"1015","141","2",YES,None,"58781","51315",ACT,REG,KNT,Kent,SE,NO,,W,NO,UNK,"0",None,"10",CURRENT,Frager Rd,109.90000000000,NS,1981-05-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,139.50000000000,109.90000000000,1981-05-15T00:00:00.000Z,"24",Unknown,"0",Frager Rd,,N,None,None,Near side,KNT,YES,1284608.10000000009,"1284598",141306.50000000000,141329.29999999999,"98032",158 159 166 183,W Meeker St,A2 <=6 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","5332"
"1016","141","2",UNK,Unknown,"59551","156860",CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,"0",Unknown,"0",CURRENT,SE 176th St,27.00000000000,NS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,946.30000000000,27.00000000000,1997-04-25T00:00:00.000Z,"24",Unknown,"0",SE 176th St,,N,UNK,Unknown,Near side,KC,UNK,1314479.69999999995,"1314470",164987.10000000001,164964.10000000001,"98058",,SE Petrovitsky Rd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014226"
"1017","141","2",YES,None,"59552","156860",ACT,REG,KC,King County,SE,NO,,E,NO,UNK,"0",Unknown,"30",CURRENT,140th Ave SE,180.00000000000,FS,1988-07-05T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,180.00000000000,180.00000000000,1988-07-05T00:00:00.000Z,"24",Unknown,"0",140th Ave SE,,N,None,None,Far side,KC,YES,1313764.60000000009,"1313756",165261.79999999999,165238.29999999999,"98058",102 148 906,SE Petrovitsky Rd,A2 <=6 rts,KCM,Toward,2in metal,Base plate,None,"0","5462"
"1018","141","2",UNK,Unknown,"59553","122572",CLO,REG,UNK,Unknown,SE,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,SE 169th Pl,31.00000000000,AT,1986-02-08T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,491.20000000000,31.00000000000,1986-09-06T00:00:00.000Z,"24",Unknown,"0",SE 169th Pl,,N,UNK,Unknown,At cross st,KC,UNK,1320817.60000000009,"1320801",167140.60000000001,167122.00000000000,"98058",,161st Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014225"
"1019","141","2",LTD,None,"59554","122572",ACT,REG,KC,King County,SE,NO,,S,NO,UNK,"0",Unknown,"10",CURRENT,SE 170th Pl,200.00000000000,NS,1989-02-04T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,200.00000000000,200.00000000000,1993-06-15T00:00:00.000Z,"24",Unknown,"0",SE 170th Pl,,N,None,None,Near side,KC,YES,1320912.00000000000,"1320887",166877.79999999999,166879.00000000000,"98058","102",161st Ave SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,"0","5463"
"1021","141","2",UNK,Unknown,"59556","315342",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,SE 175th St,5.20000000000,AT,1986-02-08T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,5.20000000000,5.20000000000,1986-09-06T00:00:00.000Z,"24",Unknown,"0",SE 175th St,,N,UNK,Unknown,At cross st,KC,UNK,1320396.89999999991,"1320422",165032.60000000001,165031.70000000001,"98058",,161st Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014224"
"1022","141","2",UNK,Unknown,"59557","315342",CLO,REG,UNK,Unknown,SE,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,SE 175th St,19.30000000000,AT,1986-02-08T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,19.30000000000,19.30000000000,1986-09-06T00:00:00.000Z,"24",Unknown,"0",SE 175th St,,N,UNK,Unknown,At cross st,KC,UNK,1320396.30000000005,"1320421",165018.50000000000,165017.60000000001,"98058",,161st Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014223"
"1023","141","2",UNK,Unknown,"59558","122572",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,SE 169th Pl,26.70000000000,AT,1986-02-08T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,495.50000000000,26.70000000000,1986-09-06T00:00:00.000Z,"24",Unknown,"0",SE 169th Pl,,N,UNK,Unknown,At cross st,KC,UNK,1320814.39999999991,"1320798",167143.50000000000,167125.00000000000,"98058",,161st Ave SE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014222"
