OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1001","141","2",UNK,Unknown,"58070","98051",CLO,REG,UNK,Unknown,SC,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,Todd Blvd,370.50000000000,FM,1981-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,497.70000000000,370.50000000000,1994-04-08T00:00:00.000Z,"24",Unknown,"0",Todd Blvd,,N,UNK,Unknown,Far middle,TUK,UNK,1290441.10000000009,"1290466",162631.70000000001,162627.00000000000,"98188",,West Valley Hwy,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014307"
"1020","141","2",YES,None,"59555","243442",ACT,REG,RNT,Renton,SE,NO,,E,NO,YES,"0",Unknown,"10",CURRENT,134th Ave SE,115.00000000000,NS,1981-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,691.00000000000,84.40000000000,1981-09-15T00:00:00.000Z,"24",Unknown,"0",134th Ave SE,,N,None,None,Near side,RNT,YES,1311647.30000000005,"1311652",165809.60000000001,165785.10000000001,"98058",102 906,SE Petrovitsky Rd,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,"0","5464"
"1027","141","2",UNK,Unknown,"54890","227236",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,NE 9th St,42.80000000000,NS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,42.80000000000,42.80000000000,1996-09-21T00:00:00.000Z,"24",Unknown,"0",NE 9th St,,N,UNK,Unknown,Near side,RNT,UNK,1308107.80000000005,"1308133",184361.60000000001,184361.89999999999,"98056",,Kirkland Ave NE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014470"
"1028","141","2",UNK,Unknown,"54900","227182",CLO,REG,UNK,Unknown,SE,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,NE 7th St,96.80000000000,NS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,96.80000000000,96.80000000000,1996-09-21T00:00:00.000Z,"24",Unknown,"0",NE 7th St,,N,UNK,Unknown,Near side,RNT,UNK,1308150.00000000000,"1308175",183470.20000000001,183471.50000000000,"98056",,Kirkland Ave NE,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014469"
"1029","141","2",YES,None,"54910","308993",ACT,REG,RNT,Renton,SE,NO,,W,NO,UNK,"0",YelRed-Stop,"10",CURRENT,Harrington Ave NE,150.00000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,225.00000000000,150.00000000000,2011-04-15T00:00:00.000Z,"24",Unknown,"0",Harrington Ave NE,,N,None,None,Far side,RNT,YES,1306959.89999999991,"1306962",183115.70000000001,183140.60000000001,"98056","908",NE 7th St,A1 <=2 rts,KCM,Toward,Light,Band,Single,"0","4662"
"1030","141","2",YES,None,"54920","226537",ACT,REG,RNT,Renton,SE,NO,,W,NO,YES,"0",YelRed-Stop,"10",CURRENT,Edmonds Ave NE,24.90000000000,NS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,24.90000000000,24.90000000000,2018-10-26T00:00:00.000Z,"24",ADA Access,"0",Edmonds Ave NE,,N,None,None,Near side,RNT,YES,1306157.69999999995,"1306167",183379.50000000000,183402.89999999999,"98056","908",NE 7th St,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,"0","4663"
"1032","141","2",UNK,Unknown,"55941","225584",CLO,RL,UNK,Unknown,SE,UNK,,W,NO,UNK,"0",Unknown,"0",CURRENT,SW 21st St,67.30000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,67.30000000000,67.30000000000,2002-02-01T00:00:00.000Z,"24",Unknown,"0",SW 21st St,,N,UNK,Unknown,Far side,RNT,UNK,1296100.69999999995,"1296120",171285.50000000000,171301.10000000001,"98057",,SW 21st St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014434"
"1033","141","2",YES,Unknown,"55942","226678",ACT,REG,RNT,Renton,SE,NO,,N,NO,YES,"6",YelRed-Stop,"10",CURRENT,SW Grady Way,220.00000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,37.80000000000,37.80000000000,2009-07-11T00:00:00.000Z,"24",ADA Access,"0",SW Grady Way,,N,Unknown,None,Far side,RNT,YES,1296644.10000000009,"1296669",174713.89999999999,174713.29999999999,"98057",F 153,Lind Ave SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","4795"
"1039","141","2",YES,None,"55948","22199",ACT,REG,KC,King County,SE,NO,,S,NO,UNK,"0",YelRed-Stop,"10",CURRENT,SE 171st Pl,110.00000000000,FS,1985-09-06T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,110.00000000000,110.00000000000,1985-09-06T00:00:00.000Z,"24",Unknown,"0",SE 171st Pl,,N,None,None,Far side,KC,YES,1313646.00000000000,"1313621",166561.00000000000,166561.89999999999,"98058","148",140th Ave SE,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,"0","4801"
"1042","141","2",UNK,Unknown,"55951","241013",CLO,REG,RNT,Renton,SE,NO,,E,NO,UNK,"0",Unknown,"0",CURRENT,Park Ave N,75.00000000000,FS,1996-09-21T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,75.00000000000,75.00000000000,2009-10-31T00:00:00.000Z,"24",Unknown,"0",Park Ave N,,N,Unknown,Unknown,Far side,RNT,UNK,1302104.10000000009,"1302104",183808.60000000001,183833.60000000001,"98057",,N 8th St,Unknown,KCM,Unknown,Unknown,Unknown,Unknown,"0","0"
