OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"1068","141","2",UNK,None,"58033","364247",CLO,RL,ST,Sound Transit,SC,NO,,S,NO,UNK,"0",Unknown,"70",CURRENT,S Longacres Way,115.00000000000,FS,2004-09-25T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,2863.10000000000,2863.10000000000,2014-06-07T00:00:00.000Z,"24",Unknown,"0",S Longacres Way,RAIL,N,None,None,Far side,TUK,UNK,1292351.80000000005,"1292377",171264.10000000001,171263.20000000001,"98057",,BN Inc Rd,Unknown,KCM,Toward,2in metal,Base plate,Single,"0","0"
"1087","141","2",UNK,Unknown,"61042","198586",CLO,REG,UNK,Unknown,SC,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 150th St,62.80000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,62.80000000000,62.80000000000,1991-01-31T00:00:00.000Z,"24",Unknown,"0",S 150th St,,N,UNK,Unknown,Far side,TUK,UNK,1280837.69999999995,"1280861",174333.50000000000,174324.79999999999,"98188",,Tukwila Intl Blvd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014101"
"1180","141","2",UNK,Unknown,"60982","368229",CLO,REG,UNK,Unknown,SC,UNK,,N,NO,UNK,"0",Unknown,"0",CURRENT,Tukwila Intl Blvd,44.10000000000,NM,1980-09-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,44.10000000000,44.10000000000,2004-10-19T00:00:00.000Z,"24",Unknown,"0",Tukwila Intl Blvd,,N,UNK,Unknown,Near middle,TUK,UNK,1279476.19999999995,"1279499",183612.60000000001,183622.89999999999,"98168",,Tukwila Intl Blvd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014105"
"1181","141","2",YES,None,"60983","368226",ACT,REG,TUK,Tukwila,SC,NO,,N,NO,YES,"6",YelRed-Stop,"70",CURRENT,SR 99 Ramp,425.20000000000,NS,2004-10-19T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,425.20000000000,425.20000000000,2013-02-12T00:00:00.000Z,"24",Unknown,"96",SR 99 Ramp,,N,None,None,Near side,TUK,YES,1279765.10000000009,"1279790",182632.29999999999,182637.60000000001,"98168","124",Tukwila Intl Blvd,Single,KCM,Away,2in metal,Base plate,Single,"1","5793"
"1183","141","2",YES,None,"60990","368225",ACT,REG,TUK,Tukwila,SC,NO,,S,NO,YES,"6",YelRed-Stop,"0",CURRENT,S 130th St,204.10000000000,NS,1983-11-17T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,912.10000000000,204.10000000000,2018-01-18T00:00:00.000Z,"24",Unknown,"0",S 130th St,,N,None,None,Near side,TUK,YES,1280323.50000000000,"1280305",181171.50000000000,181155.20000000001,"98168","124",Tukwila Intl Blvd,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,"0","5794"
"1184","141","2",YES,None,"61000","368212",ACT,REG,TUK,Tukwila,SC,NO,,S,NO,YES,"6",YelRed-Stop,"0",CURRENT,37th Ave S,300.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,188.50000000000,118.90000000000,2018-01-18T00:00:00.000Z,"24",Unknown,"0",37th Ave S,,N,None,None,Far side,TUK,YES,1281206.69999999995,"1281183",179709.00000000000,179702.50000000000,"98168","124",Tukwila Intl Blvd,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,"0","5795"
"1185","141","2",UNK,Unknown,"61010","139267",CLO,REG,UNK,Unknown,SC,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,Tukwila Intl Blvd,13.70000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,323.30000000000,13.70000000000,2004-02-04T00:00:00.000Z,"24",Unknown,"0",Tukwila Intl Blvd,,N,UNK,Unknown,Near side,TUK,UNK,1281723.39999999991,"1281722",177725.29999999999,177700.29999999999,"98168",,S 140th St,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014103"
"1186","141","2",YES,None,"61012","198453",ACT,REG,TUK,Tukwila,SC,NO,,S,NO,YES,"6",YelRed-Stop,"90",CURRENT,S 141st St,6.60000000000,FS,2004-02-05T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,6.60000000000,6.60000000000,2004-02-05T00:00:00.000Z,"24",Unknown,"96",S 141st St,,N,None,None,Far side,TUK,YES,1281793.50000000000,"1281769",177344.10000000001,177343.50000000000,"98168","124",Tukwila Intl Blvd,Single,KCM,Away,2in metal,Base plate,Single,"0","5796"
"1187","141","2",YES,None,"61020","368199",ACT,REG,TUK,Tukwila,SC,NO,,S,NO,YES,"6",YelRed-Stop,"80",CURRENT,S 144th St,235.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,235.00000000000,147.00000000000,2018-01-18T00:00:00.000Z,"24",Unknown,"96",S 144th St,,N,None,None,Far side,TUK,YES,1281494.60000000009,"1281471",176147.00000000000,176155.70000000001,"98168",124 128,Tukwila Intl Blvd,Single,KCM,Away,2in metal,Base plate,Double,"0","5797"
"1188","141","2",UNK,Unknown,"61030","198483",CLO,REG,UNK,Unknown,SC,UNK,,S,NO,UNK,"0",Unknown,"0",CURRENT,S 146th St,123.40000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,123.40000000000,123.40000000000,1991-01-31T00:00:00.000Z,"24",Unknown,"0",S 146th St,,N,UNK,Unknown,Far side,TUK,UNK,1281313.89999999991,"1281290",175600.70000000001,175609.10000000001,"98168",,Tukwila Intl Blvd,Unknown,UNK,,Unknown,Unknown,UNK,"0","100014102"
