OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"3877","141","2",NO,None,"46880","19108",ACT,REG,KC,King County,CB,NO,,N,NO,NO,"0",None,"0",CURRENT,SW 156th St,207.00000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,207.00000000000,207.00000000000,2006-10-11T00:00:00.000Z,"39",Unknown,"0",SW 156th St,,N,None,None,Far side,KC,YES,1238020.50000000000,"1238046",174276.00000000000,174275.39999999999,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,Single,"0","3893"
"3878","141","2",YES,Unknown,"46888","263028",ACT,REG,KC,King County,CB,NO,,N,NO,NO,"0",None,"0",CURRENT,SW 132nd Pl,220.30000000000,FS,2005-02-07T08:00:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,323.20000000000,220.30000000000,2013-10-26T00:00:00.000Z,"39",Unknown,"0",SW 132nd Pl,,N,None,None,Far side,KC,YES,1235889.39999999991,"1235914",182059.79999999999,182059.20000000001,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","3894"
"3879","141","2",YES,Unknown,"46890","128847",ACT,REG,KC,King County,CB,NO,,N,NO,NO,"0",None,"0",CURRENT,Burma Rd SW,432.00000000000,FS,2016-02-10T07:53:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,380.30000000000,380.30000000000,2016-03-26T00:00:00.000Z,"39",Unknown,"0",Burma Rd SW,,N,None,None,Far side,KC,YES,1236324.69999999995,"1236350",185472.79999999999,185472.79999999999,"98070",118 118E 119 119E,Vashon Hwy SW,None,KCM,None,None,None,None,"0","100012253"
"3880","141","2",NO,None,"47080","19108",ACT,REG,KC,King County,CB,NO,,S,NO,NO,"0",Unknown,"0",CURRENT,SW 156th St,197.00000000000,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,197.00000000000,197.00000000000,2006-07-07T00:00:00.000Z,"39",Unknown,"0",SW 156th St,,N,None,None,Near side,KC,YES,1238020.19999999995,"1237995",174266.00000000000,174266.60000000001,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","3895"
"3881","141","2",YES,None,"47110","262964",ACT,REG,KC,King County,CB,NO,,S,NO,UNK,"0",Unknown,"50",CURRENT,SW 171st St,99.70000000000,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,1027.00000000000,99.70000000000,1960-01-01T00:00:00.000Z,"39",Unknown,"0",SW 171st St,,N,None,None,Far side,KC,YES,1237871.89999999991,"1237847",169143.60000000001,169144.20000000001,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Unknown,None,"0","3896"
"3882","141","2",YES,None,"47120","262919",ACT,REG,KC,King County,CB,NO,,S,NO,NO,"0",None,"0",CURRENT,SW 178th St,135.40000000000,FS,1981-03-15T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,481.00000000000,135.40000000000,2013-10-22T00:00:00.000Z,"39",Unknown,"0",SW 178th St,,N,None,None,Far side,KC,YES,1237808.30000000005,"1237783",166603.60000000001,166604.20000000001,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,None,"0","3897"
"3883","141","2",LTD,Unknown,"47165","266328",ACT,REG,KC,King County,CB,NO,,E,NO,NO,"0",None,"0",CURRENT,94th Pl SW,10.00000000000,NS,2004-06-23T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,10.00000000000,10.00000000000,2011-01-04T00:00:00.000Z,"39",Unknown,"0",94th Pl SW,,N,None,None,Near side,KC,YES,1239057.60000000009,"1239057",158145.50000000000,158120.50000000000,"98070",118N 119E 119,SW 204th St,A1 <=2 rts,KCM,Away,2in metal,Cncrt-earth,None,"0","3898"
"3884","141","2",YES,None,"47175","48251",ACT,REG,KC,King County,CB,NO,,S,NO,NO,"0",None,"0",CURRENT,Dockton Rd SW,40.00000000000,AT,2016-02-09T12:36:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,39.60000000000,39.60000000000,2016-03-26T00:00:00.000Z,"39",Unknown,"0",Dockton Rd SW,,N,None,None,At cross st,KC,YES,1242521.50000000000,"1242513",156462.39999999999,156438.89999999999,"98070",118 119E 119,SW Ellisport Rd,None,KCM,None,None,None,None,"0","100012283"
"4898","141","2",UNK,Unknown,"46798","263014",INA,REG,KC,King County,CB,NO,,S,NO,UNK,"0",Unknown,"0",CURRENT,SW 210th St,31.70000000000,NS,2016-11-30T12:59:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,90.10000000000,31.70000000000,2017-03-11T00:00:00.000Z,"39",Unknown,"0",SW 210th St,,N,Unknown,Unknown,Near side,KC,YES,1237588.19999999995,"1237563",156249.50000000000,156249.79999999999,"98070",,Vashon Hwy SW,None,KCM,None,None,None,None,"0","100012320"
"4899","141","2",UNK,Unknown,"46799","263014",INA,REG,KC,King County,CB,NO,,N,NO,UNK,"0",Unknown,"0",CURRENT,SW 210th St,45.80000000000,FS,2016-11-30T13:01:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,76.00000000000,45.80000000000,2017-03-11T00:00:00.000Z,"39",Unknown,"0",SW 210th St,,N,Unknown,Unknown,Far side,KC,YES,1237588.50000000000,"1237614",156263.60000000001,156263.29999999999,"98070",,Vashon Hwy SW,None,KCM,None,None,None,None,"0","100012315"
"4900","141","2",YES,None,"46800","262939",ACT,REG,KC,King County,CB,NO,,N,NO,NO,"0",None,"0",CURRENT,SW 188th St,62.90000000000,FS,2005-06-14T12:52:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,1240.00000000000,62.90000000000,2005-06-14T00:00:00.000Z,"39",Unknown,"0",SW 188th St,,N,None,None,Far side,KC,YES,1237741.30000000005,"1237766",163537.50000000000,163536.89999999999,"98070",118 118E 119 119E,Vashon Hwy SW,A1 <=2 rts,KCM,Toward,2in metal,Cncrt-earth,Single,"0","3886"
